# Object Walkability Configuration
# Format: shape_id,walkability
# walkability: 0=walkable, 1=blocking, 2=climbable, 3=door

# Remaining objects - classify as needed
150,2
151,1
152,1
156,2
157,0
158,1
159,0
161,2
162,2
163,1
164,2
165,2
166,2
167,2
168,0
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,1
178,0
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,0
187,0
188,0
189,0
190,0
191,2
192,2
193,2
194,1
195,1
196,1
197,1
198,0
199,1
200,0
201,0
202,1
203,0
204,0
205,1
206,1
207,0
208,0
209,0
210,2
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,0
225,3
231,0
232,0
233,2
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,3
248,0
249,0
250,3
251,0
252,1
253,2
254,2
255,1
256,0
257,0
258,1
260,2
261,1
262,0
263,2
264,0
266,2
267,1
268,1
269,0
270,3
271,1
272,1
273,2
275,0
276,1
277,1
278,0
279,1
280,0
281,0
282,0
283,2
284,1
285,0
286,0
287,0
288,0
289,1
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,0
300,0
301,2
302,0
303,1
305,0
306,1
307,1
308,2
309,1
310,1
311,0
312,0
313,1
314,0
315,1
316,1
320,1
321,0
322,0
323,0
324,1
325,1
326,1
327,1
328,1
329,0
330,0
331,1
332,1
333,2
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,1
342,1
343,1
344,2
345,2
346,2
347,1
348,2
349,2
350,2
351,2
352,2
353,0
355,2
356,1
357,2
358,2
359,2
360,0
361,0
362,2
363,0
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,0
373,1
374,2
376,3
377,0
378,2
379,0
383,0
384,1
385,2
386,2
387,2
388,0
389,1
390,1
391,1
392,3
393,1
395,1
396,1
397,0
398,0
399,0
400,0
402,2
404,1
405,0
406,1
407,2
408,0
409,1
410,1
411,2
412,2
413,0
414,0
415,0
416,2
417,0
418,1
419,0
420,2
421,2
422,2
423,0
424,0
425,2
426,2
427,2
428,2
429,2
430,2
431,1
432,3
433,3
434,1
435,0
436,2
437,1
438,1
439,1
440,0
441,2
442,1
443,0
444,0
447,1
453,1
470,1
474,0
481,0
483,0
484,1
486,1
497,2
503,1
507,0
508,1
512,1
515,1
516,0
517,0
518,1
520,1
522,2
526,1
527,0
531,1
535,0
538,2
539,0
540,0
541,0
542,0
543,0
544,1
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,1
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
618,0
619,1
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,1
632,0
633,2
634,1
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,1
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,1
652,2
653,2
654,0
655,1
656,1
657,0
658,0
659,0
660,2
661,0
662,0
663,0
664,1
665,1
666,0
667,0
668,0
669,1
670,1
671,0
672,1
673,1
674,1
675,0
676,0
677,2
678,0
679,2
680,2
681,0
682,1
683,1
684,1
685,1
686,0
687,1
688,0
689,1
690,1
691,0
692,0
693,0
694,1
695,1
696,2
697,1
698,0
699,0
700,2
701,0
702,1
703,0
704,1
705,2
707,0
708,1
709,1
710,0
711,0
712,1
713,1
714,2
715,1
716,0
717,0
718,1
719,1
722,0
723,0
724,1
725,1
726,1
728,0
729,0
730,0
731,0
732,1
733,0
734,1
735,1
736,0
737,0
738,0
739,1
740,1
741,1
742,0
743,1
744,1
745,1
746,0
747,1
748,1
749,0
750,0
751,0
752,0
753,1
754,0
755,0
756,0
757,2
758,0
759,0
760,0
761,0
762,0
763,1
764,1
765,0
766,0
767,0
768,0
769,0
770,1
771,0
772,0
773,2
774,2
775,1
776,0
777,0
778,0
779,0
780,0
781,2
782,0
783,1
785,0
786,0
787,0
788,0
789,1
790,0
791,2
792,0
793,0
794,0
795,1
796,1
797,0
798,0
799,0
800,2
801,0
802,0
803,0
804,2
807,0
808,0
809,1
810,0
812,1
813,1
814,1
815,0
816,0
817,0
818,1
819,2
820,0
821,0
822,0
823,0
824,0
825,0
826,1
827,0
828,2
829,2
830,1
831,1
832,1
833,1
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,1
842,0
843,0
845,2
846,1
847,1
848,1
849,0
850,0
851,0
